# YPerchCB1.txt
#
# data reconstructed from Table 2 in Bronte, C.R., J.H. Selgeby, and D.V. Swedberg.  1993.  Dynamics of a Yellow
#  perch population in western Lake Superior.  North American Journal of Fisheries Management, 13:511-523.
#
# age: age (years)
# sex: sex -- M=male, F=female
# mat: maturity -- Y=yes, N=no
#
age	sex	mat
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
3	F	Y
4	F	N
4	F	N
4	F	N
4	F	N
4	F	N
4	F	N
4	F	N
4	F	N
4	F	N
4	F	N
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
4	F	Y
5	F	N
5	F	N
5	F	N
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
5	F	Y
6	F	N
6	F	N
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
6	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
7	F	Y
8	F	N
8	F	Y
8	F	Y
8	F	Y
8	F	Y
8	F	Y
9	F	Y
9	F	Y
9	F	Y
9	F	Y
9	F	Y
9	F	Y
