"Species","Origin","Age","DBH","Ht","Pst","Pbr","Pf","Pabo","Country","GAge"
"Picea abies (L.) Karst.","Natural",58,11.2,15.9,33.1,1.8,2.8,37.7,"GER","50-100"
"Picea abies (L.) Karst.","Natural",58,16.8,19.5,92.3,3,9.5,104.8,"GER","50-100"
"Picea abies (L.) Karst.","Natural",58,19.6,20.9,140.2,2.8,9.4,152.4,"GER","50-100"
"Picea abies (L.) Karst.","Natural",58,14.4,15.8,56.6,5.2,3.4,65.2,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,9.4,14.2,24.9,1,1.5,27.4,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,16.3,17,80.4,3.2,7.7,91.3,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,11.5,14,28.1,1.6,2.7,32.4,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,19,16.2,92.8,6.4,19,118.2,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,14.9,14.4,44.3,2.4,7.1,53.8,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,10.4,12.7,22.8,1.8,3.6,28.2,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,16.5,17.4,81.9,5.6,15.3,102.8,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,14.7,17.7,68.8,2.8,5.4,77,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,10.9,14.2,28.2,3.2,3.4,34.8,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,14.6,17.2,65,3.4,6.5,74.9,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,16.3,16.8,69.1,4.8,8.4,82.3,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,18.5,18.4,91.7,2.2,8.8,102.7,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,11.5,12.9,29.6,3.2,3.5,36.3,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,22.5,19.6,131.3,2,21.5,154.8,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,8.9,12.1,17.1,0.8,2.3,20.2,"GER","50-100"
"Picea abies (L.) Karst.","Natural",44,9.8,12.2,22.4,1,3.4,26.8,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,11.9,14.5,37.8,2,3.9,43.7,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,16.4,17.6,69.7,2.3,10.3,82.3,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,11.2,13.3,27.8,2,3.7,33.5,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,14.4,16.5,54.6,1.8,4.9,61.3,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,22.8,19.3,145.1,3.8,21.7,170.6,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,20.3,18.5,114.1,6,11.4,131.5,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,17.9,17.9,90.3,2.2,15.5,108,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,16,19.4,85.8,3.2,6.7,95.7,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,13.6,16.1,50.9,4,5.4,60.3,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,22.7,22.1,152.9,4.8,12.9,170.6,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,22.5,21.5,136.5,2.9,11.3,150.7,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,20.5,19.1,124.8,2.6,14.9,142.3,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,18.3,18.7,88.5,4.8,7.7,101,"GER","<50"
"Picea abies (L.) Karst.","Natural",44,10.8,14.4,25.8,1,3.6,30.4,"GER","<50"
"Picea abies (L.) Karst.","Natural",63,30,23.4,312.9,50.8,41.17,404.9,"GER","50-100"
"Picea abies (L.) Karst.","Natural",63,31,22.47,354.9,27.5,35.85,418.2,"GER","50-100"
"Picea abies (L.) Karst.","Natural",63,30,22.55,314.6,25,37.72,377.3,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,16,14.1,88.52,16.24,3.84,108.6,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,18,15.9,90.84,11.85,8.96,111.6,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,16,14.9,64.75,6.18,3.93,74.9,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,15,12.4,50.48,8.76,5.22,64.5,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,16,15.8,84.04,6.89,7.41,98.3,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,14,13.2,55.98,11.89,6.84,74.7,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,17,15,86.39,12.6,8.75,107.7,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,17,15,85.05,9.33,10.73,105.1,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,16,14.8,82.51,11.08,6.35,99.9,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,14,13.9,58.25,8.06,5.67,72,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,16,16,88.63,7.36,6.74,102.7,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,14,14.1,58.26,11.27,4.19,73.7,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,16,16.4,76.31,14.8,10.22,101.3,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,16,14.4,60.83,9.3,4.66,74.8,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,15,13.7,55.76,10.43,7.12,73.3,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,15,14.6,61.95,10,5.57,77.5,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,15,14,57.91,8.95,6.81,73.7,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,17,15.8,93.38,8.39,10.26,112,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,14,13.5,61.53,11.68,6.6,79.8,"GER","50-100"
"Picea abies (L.) Karst.","Natural",68,17,14.5,73.92,11.1,5.36,90.4,"GER","50-100"
"Picea abies (L.) Karst.","Natural",130,37,27,541.4,42.08,56.8,640.3,"GER",">100"
"Picea abies (L.) Karst.","Natural",75,25,20,161.7,11.55,29.84,203.1,"GER","50-100"
"Picea abies (L.) Karst.","Natural",75,25,20,193.5,6.55,20.91,221,"GER","50-100"
"Picea abies (L.) Karst.","Natural",25,7,5.4,6,0.557,1.883,8.44,"GER","<50"
"Picea abies (L.) Karst.","Natural",25,7,5.4,6.8,0.801,4.821,12.42,"GER","<50"
"Picea abies (L.) Karst.","Natural",50,15,14,44.3,4.403,6.35,55.05,"GER","50-100"
"Picea abies (L.) Karst.","Natural",50,15,14,52,4.175,8.571,64.75,"GER","50-100"
"Picea abies (L.) Karst.","Natural",15,5,4.9,3,0.05,NA,NA,"GER","<50"
"Picea abies (L.) Karst.","Natural",15,5,4.9,3.9,0.097,NA,NA,"GER","<50"
"Picea abies (L.) Karst.","Natural",100,27.3,25.2,305.7,40.7,30.1,376.5,"GER","50-100"
"Picea abies (L.) Karst.","Natural",142,36.5,26.7,532.2,83.2,45.7,661.1,"GER",">100"
"Picea abies (L.) Karst.","Natural",62,22.4,22.75,195,7,18,220,"GER","50-100"
"Picea abies (L.) Karst.","Natural",62,27.2,21.6,226,7,25,258,"GER","50-100"
"Picea abies (L.) Karst.","Natural",62,19.8,20.1,127,3,10,140,"GER","50-100"
"Picea abies (L.) Karst.","Natural",62,22.7,20.8,153,6,13,172,"GER","50-100"
"Picea abies (L.) Karst.","Natural",62,17.9,19.25,91,3,5,99,"GER","50-100"
"Picea abies (L.) Karst.","Natural",62,15.5,17.65,68,2,2,72,"GER","50-100"
"Picea abies (L.) Karst.","Natural",62,11.8,12.78,36,2,4,42,"GER","50-100"
"Picea abies (L.) Karst.","Natural",62,10.7,11.98,27,2,3,32,"GER","50-100"
"Picea abies (L.) Karst.","Natural",84,30.1,25.1,330,4,22,356,"GER","50-100"
"Picea abies (L.) Karst.","Natural",84,24.3,23.2,233,7,17,257,"GER","50-100"
"Picea abies (L.) Karst.","Natural",84,20.4,22.51,160,4,6,170,"GER","50-100"
"Picea abies (L.) Karst.","Natural",84,17.1,17.38,106,6,9,121,"GER","50-100"
"Picea abies (L.) Karst.","Natural",84,21,21.85,163,3,12,178,"GER","50-100"
"Picea abies (L.) Karst.","Natural",84,16.5,18.11,90,6,7,103,"GER","50-100"
"Picea abies (L.) Karst.","Natural",84,17.3,20,130,6,8,144,"GER","50-100"
"Picea abies (L.) Karst.","Natural",84,27.5,24.43,287,3,26,316,"GER","50-100"
"Picea abies (L.) Karst.","Natural",84,37.8,26.58,430,17,31,478,"GER","50-100"
"Picea abies (L.) Karst.","Natural",91,23.2,21.4,215,7,9,231,"GER","50-100"
"Picea abies (L.) Karst.","Natural",91,29.8,24.7,357,17,13,387,"GER","50-100"
"Picea abies (L.) Karst.","Natural",91,34.1,26.6,397,12,38,447,"GER","50-100"
"Picea abies (L.) Karst.","Natural",91,24.7,24.1,261,8,9,278,"GER","50-100"
"Picea abies (L.) Karst.","Natural",91,31.8,25.2,351,13,13,377,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,29.5,23.9,258.4,65.14,27.5,351,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,16.2,16.15,63.04,26.53,12.52,102.1,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,16.8,16.75,61.61,20.16,11.58,93.35,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,11,13.9,28.67,7.1,3.51,39.28,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,17.3,14.95,66.45,23.29,12.06,101.8,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,22.2,16.25,108.6,44.06,21.84,174.5,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,19.4,17.85,83.36,28.64,15.42,127.4,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,17,16.4,72.96,26.21,14.03,113.2,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,23.2,18,136.6,52.13,28.19,216.9,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,11.5,12.3,25.79,10.47,5.52,41.78,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,13.8,12.15,33.92,10.9,4.94,49.76,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,20,17.05,106.7,49.22,24.05,180,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,7.1,7.45,4.07,2.1,0.98,7.15,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,41.2,31.7,702.1,128.2,41.79,872.1,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,33.4,28.6,476.5,88.29,29.66,594.5,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,7,6.31,5.08,2.41,1.26,8.75,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,10.5,6.55,11.09,6.82,4,21.91,"GER","50-100"
"Picea abies (L.) Karst.","Natural",95,9,6.79,8.94,5.83,2.61,17.38,"GER","50-100"
"Picea abies (L.) Karst.","Natural",89,23.2,26.9,NA,5.84,2.23,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",89,33.2,33.7,NA,22.68,18.56,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",92,58.3,41.7,NA,132.21,90.96,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",66,28,28.9,NA,17.23,14.85,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",64,28.2,29.3,NA,3.38,3.71,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",64,45.2,30.1,NA,96.49,46.41,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",106,69.8,44.2,NA,256.47,222.03,NA,"UKR",">100"
"Picea abies (L.) Karst.","Natural",107,48.2,37.9,NA,206.62,104.7,NA,"UKR",">100"
"Picea abies (L.) Karst.","Natural",40,33.1,25.9,NA,57.32,39.73,NA,"UKR","<50"
"Picea abies (L.) Karst.","Natural",37,23.8,20.7,NA,12.16,25.25,NA,"UKR","<50"
"Picea abies (L.) Karst.","Natural",37,14.3,16.2,NA,2.06,4.27,NA,"UKR","<50"
"Picea abies (L.) Karst.","Natural",52,19.2,20.7,NA,6.56,4.83,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",82,40.3,33,NA,36.6,33.04,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",82,52.3,40.2,NA,51.32,43.81,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",70,26.6,30.7,NA,5.72,11.88,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",70,33.5,31.9,NA,6.08,12.62,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",68,48.1,34.1,NA,60.81,41.58,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",45,21,20.2,NA,6.76,7.43,NA,"UKR","<50"
"Picea abies (L.) Karst.","Natural",45,26.1,24.6,NA,20.24,15.59,NA,"UKR","<50"
"Picea abies (L.) Karst.","Natural",45,34.4,25.8,NA,32.69,28.22,NA,"UKR","<50"
"Picea abies (L.) Karst.","Natural",64,16.2,20.2,NA,17.4,14.11,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",82,32.6,33.1,NA,26.08,29.7,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",82,46.7,32.5,NA,102.93,55.69,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",61,16.1,22.9,NA,6.5,5.2,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",68,28.6,27.6,NA,21.03,14.48,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",70,35.7,29.4,NA,21.93,17.45,NA,"UKR","50-100"
"Picea abies (L.) Karst.","Natural",32,9.8,16.7,NA,2.49,2.97,NA,"UKR","<50"
"Picea abies (L.) Karst.","Natural",31,20.2,19.4,NA,18.3,17.08,NA,"UKR","<50"
