Species,suborder,infraorder,Family,SVL,Weight,limbs,Sex,mass_measure
Stenodactylus doriae,Sauria,Gekkota,Gekkonidae,63.24,8.2,legged,female,mean
Stenodactylus petrii,Sauria,Gekkota,Gekkonidae,53.65,5.4,legged,male,mean
Stenodactylus sthenodactylus,Sauria,Gekkota,Gekkonidae,49.10,4.4,legged,female,mean
Strophurus ciliaris,Sauria,Gekkota,Gekkonidae,77.90,7.8,legged,unsexed,mean
Strophurus elderi,Sauria,Gekkota,Gekkonidae,43.35,1.7,legged,unsexed,mean
Strophurus intermedius,Sauria,Gekkota,Gekkonidae,64.50,6.7,legged,unsexed,mean
Strophurus michaelseni,Sauria,Gekkota,Gekkonidae,58.00,2.3,legged,unsexed,mean
Strophurus spinigerus,Sauria,Gekkota,Gekkonidae,72.00,4.8,legged,unsexed,mean
Strophurus strophurus,Sauria,Gekkota,Gekkonidae,66.70,5.8,legged,unsexed,mean
Tarentola annularis,Sauria,Gekkota,Gekkonidae,95.00,12.6,legged,male,heaviest
Tarentola mauritanica,Sauria,Gekkota,Gekkonidae,70.00,7.3,legged,unsexed,mean
Teratoscincus microlepis,Sauria,Gekkota,Gekkonidae,69.40,9.7,legged,male,mean
Teratoscincus scincus,Sauria,Gekkota,Gekkonidae,94.85,22.4,legged,unsexed,mean
Teratoscincus toksunicus,Sauria,Gekkota,Gekkonidae,94.00,30.0,legged,female,heaviest
Thecadactylus rapicauda,Sauria,Gekkota,Gekkonidae,110.05,29.2,legged,female,mean
Tropiocolotes nattereri,Sauria,Gekkota,Gekkonidae,26.00,0.4,legged,unsexed,heaviest
Tropiocolotes steudneri,Sauria,Gekkota,Gekkonidae,26.33,0.3,legged,male,mean
Underwoodisaurus milii,Sauria,Gekkota,Gekkonidae,88.00,9.6,legged,unsexed,mean
Gerrhosaurus major,Sauria,Scincimorpha,Gerrhosauridae,205.00,284.0,legged,unsexed,heaviest
Gerrhosaurus nigrolineatus,Sauria,Scincimorpha,Gerrhosauridae,126.55,62.9,legged,unsexed,mean
Gerrhosaurus skoogi,Sauria,Scincimorpha,Gerrhosauridae,138.73,56.2,legged,unsexed,mean
Tetradactylus seps,Sauria,Scincimorpha,Gerrhosauridae,55.47,3.8,legged,unsexed,mean
Tracheloptychus petersi,Sauria,Scincimorpha,Gerrhosauridae,86.50,17.4,legged,unsexed,mean
Zonosaurus madagascariensis,Sauria,Scincimorpha,Gerrhosauridae,124.00,45.4,legged,unsexed,mean
Zonosaurus maximus,Sauria,Scincimorpha,Gerrhosauridae,246.00,386.4,legged,unsexed,heaviest
Zonosaurus quadrilineatus,Sauria,Scincimorpha,Gerrhosauridae,165.00,82.7,legged,unsexed,heaviest
Alopoglossus angulatus,Sauria,Laterata,Gymnophthalmidae,48.98,2.4,legged,unsexed,mean
Alopoglossus atriventris,Sauria,Laterata,Gymnophthalmidae,53.00,4.5,legged,female,heaviest
Alopoglossus buckleyi,Sauria,Laterata,Gymnophthalmidae,45.00,2.1,legged,male,mean
Alopoglossus copii,Sauria,Laterata,Gymnophthalmidae,58.00,6.0,legged,male,heaviest
Anadia bogotensis,Sauria,Laterata,Gymnophthalmidae,62.30,4.5,legged,unsexed,mean
Anadia brevifrontalis,Sauria,Laterata,Gymnophthalmidae,69.00,5.9,legged,male,mean
Arthrosaura reticulata,Sauria,Laterata,Gymnophthalmidae,50.72,3.4,legged,unsexed,mean
Bachia flavescens,Sauria,Laterata,Gymnophthalmidae,73.00,1.3,reduced,male,heaviest
Bachia trisanale,Sauria,Laterata,Gymnophthalmidae,79.00,1.5,reduced,unsexed,heaviest
Calyptommatus leiolepis,Sauria,Laterata,Gymnophthalmidae,53.89,0.9,reduced,unsexed,mean
Cercosaura argulus,Sauria,Laterata,Gymnophthalmidae,34.55,0.5,legged,unsexed,mean
Cercosaura eigenmanni,Sauria,Laterata,Gymnophthalmidae,45.50,2.6,legged,female,mean
Cercosaura ocellata,Sauria,Laterata,Gymnophthalmidae,52.25,3.9,legged,female,mean
Cercosaura oshaughnessyi,Sauria,Laterata,Gymnophthalmidae,37.45,1.1,legged,male,mean
Cercosaura schreibersii,Sauria,Laterata,Gymnophthalmidae,32.38,0.5,legged,unsexed,mean
Echinosaura horrida,Sauria,Laterata,Gymnophthalmidae,65.92,4.8,legged,unsexed,mean
Gymnophthalmus leucomystax,Sauria,Laterata,Gymnophthalmidae,38.70,0.8,legged,female,mean
Gymnophthalmus underwoodi,Sauria,Laterata,Gymnophthalmidae,38.00,1.2,legged,female,mean
Iphisa elegans,Sauria,Laterata,Gymnophthalmidae,46.51,1.4,reduced,unsexed,mean
Leposoma osvaldoi,Sauria,Laterata,Gymnophthalmidae,29.64,0.6,legged,unsexed,mean
Leposoma parietale,Sauria,Laterata,Gymnophthalmidae,33.80,0.7,legged,male,mean
Leposoma percarinatum,Sauria,Laterata,Gymnophthalmidae,32.30,0.7,legged,parthenogenetic,mean
Micrablepharus maximiliani,Sauria,Laterata,Gymnophthalmidae,35.99,1.0,legged,unsexed,mean
Neusticurus bicarinatus,Sauria,Laterata,Gymnophthalmidae,84.50,17.2,legged,unsexed,mean
Nothobachia ablephara,Sauria,Laterata,Gymnophthalmidae,53.71,0.8,reduced,unsexed,mean
Pholidobolus affinis,Sauria,Laterata,Gymnophthalmidae,46.56,2.9,legged,unsexed,mean
Potamites ecpleopus,Sauria,Laterata,Gymnophthalmidae,61.80,5.7,legged,male,mean
Potamites juruazensis,Sauria,Laterata,Gymnophthalmidae,41.60,1.6,legged,unsexed,mean
Procellosaurinus erythrocercus,Sauria,Laterata,Gymnophthalmidae,27.81,0.5,legged,unsexed,mean
Psilophthalmus paeminosus,Sauria,Laterata,Gymnophthalmidae,31.73,0.5,legged,unsexed,mean
Ptychoglossus brevifrontalis,Sauria,Laterata,Gymnophthalmidae,48.11,1.8,legged,unsexed,mean
Riama striata,Sauria,Laterata,Gymnophthalmidae,60.85,4.3,legged,unsexed,mean
Tretioscincus bifasciatus,Sauria,Laterata,Gymnophthalmidae,58.00,6.0,legged,unsexed,heaviest
Tretioscincus oriximinensis,Sauria,Laterata,Gymnophthalmidae,51.50,2.4,legged,unsexed,mean
Vanzosaura rubricauda,Sauria,Laterata,Gymnophthalmidae,31.62,0.7,legged,unsexed,mean
Heloderma horridum,Sauria,Anguimorpha,Helodermatidae,363.85,1088.3,legged,female,mean
Heloderma suspectum,Sauria,Anguimorpha,Helodermatidae,287.35,551.3,legged,unsexed,mean
Enyalioides cofanorum,Sauria,Iguania,Hoplocercidae,140.00,60.0,legged,male,heaviest
Enyalioides laticeps,Sauria,Iguania,Hoplocercidae,114.03,58.0,legged,unsexed,mean
Enyalioides palpebralis,Sauria,Iguania,Hoplocercidae,116.00,24.0,legged,male,heaviest
Amblyrhynchus cristatus,Sauria,Iguania,Iguanidae,530.00,3000.0,legged,unsexed,heaviest
Brachylophus fasciatus,Sauria,Iguania,Iguanidae,165.50,162.0,legged,male,mean
Brachylophus vitiensis,Sauria,Iguania,Iguanidae,202.00,345.0,legged,female,mean
Conolophus marthae,Sauria,Iguania,Iguanidae,470.00,5000.0,legged,male,heaviest
Conolophus pallidus,Sauria,Iguania,Iguanidae,333.75,4200.0,legged,female,mean
Conolophus subcristatus,Sauria,Iguania,Iguanidae,392.75,7000.0,legged,male,mean
Ctenosaura bakeri,Sauria,Iguania,Iguanidae,224.30,399.4,legged,male,mean
Ctenosaura hemilopha,Sauria,Iguania,Iguanidae,400.00,2800.0,legged,unsexed,heaviest
Ctenosaura pectinata,Sauria,Iguania,Iguanidae,309.20,961.4,legged,male,mean
Ctenosaura similis,Sauria,Iguania,Iguanidae,380.00,1034.0,legged,male,mean
Cyclura carinata,Sauria,Iguania,Iguanidae,237.50,1005.0,legged,male,mean
Cyclura cornuta,Sauria,Iguania,Iguanidae,471.50,4134.5,legged,female,mean
Cyclura cychlura,Sauria,Iguania,Iguanidae,620.00,10380.0,legged,male,heaviest
Cyclura nubila,Sauria,Iguania,Iguanidae,428.15,4100.0,legged,male,mean
Cyclura pinguis,Sauria,Iguania,Iguanidae,512.30,5725.0,legged,male,mean
Cyclura ricordi,Sauria,Iguania,Iguanidae,365.00,1634.0,legged,female,heaviest
Cyclura rileyi,Sauria,Iguania,Iguanidae,254.00,683.0,legged,male,mean
Dipsosaurus dorsalis,Sauria,Iguania,Iguanidae,115.06,59.0,legged,unsexed,mean
Iguana delicatissima,Sauria,Iguania,Iguanidae,410.00,3400.0,legged,male,heaviest
Iguana iguana,Sauria,Iguania,Iguanidae,387.55,1530.0,legged,male,mean
Sauromalus ater,Sauria,Iguania,Iguanidae,210.00,550.0,legged,unsexed,heaviest
Sauromalus hispidus,Sauria,Iguania,Iguanidae,271.00,737.0,legged,unsexed,mean
Sauromalus obesus,Sauria,Iguania,Iguanidae,171.50,175.0,legged,female,mean
Sauromalus varius,Sauria,Iguania,Iguanidae,323.00,1800.0,legged,unsexed,heaviest
Acanthodactylus beershebensis,Sauria,Laterata,Lacertidae,90.00,19.0,legged,unsexed,heaviest
Acanthodactylus boskianus,Sauria,Laterata,Lacertidae,60.46,8.3,legged,unsexed,mean
Acanthodactylus erythrurus,Sauria,Laterata,Lacertidae,70.49,8.7,legged,male,mean
Acanthodactylus maculatus,Sauria,Laterata,Lacertidae,62.00,7.5,legged,male,heaviest
Acanthodactylus opheodurus,Sauria,Laterata,Lacertidae,62.00,4.0,legged,unsexed,heaviest
Acanthodactylus pardalis,Sauria,Laterata,Lacertidae,59.40,7.4,legged,male,mean
Acanthodactylus schmidti,Sauria,Laterata,Lacertidae,90.20,14.5,legged,unsexed,mean
Acanthodactylus schreiberi,Sauria,Laterata,Lacertidae,80.00,28.0,legged,unsexed,heaviest
Acanthodactylus scutellatus,Sauria,Laterata,Lacertidae,85.00,12.0,legged,unsexed,heaviest
Algyroides moreoticus,Sauria,Laterata,Lacertidae,45.00,3.2,legged,female,heaviest
Anatololacerta danfordi,Sauria,Laterata,Lacertidae,64.00,4.5,legged,unsexed,heaviest
Archaeolacerta bedriagae,Sauria,Laterata,Lacertidae,72.22,10.3,legged,male,mean
Atlantolacerta andreanskyi,Sauria,Laterata,Lacertidae,54.00,3.0,legged,female,heaviest
Dalmatolacerta oxycephala,Sauria,Laterata,Lacertidae,60.26,8.0,legged,unsexed,mean
Darevskia armeniaca,Sauria,Laterata,Lacertidae,53.50,2.1,legged,unsexed,mean
Darevskia derjugini,Sauria,Laterata,Lacertidae,56.60,4.1,legged,female,mean
Darevskia praticola,Sauria,Laterata,Lacertidae,54.74,2.5,legged,female,mean
Darevskia saxicola,Sauria,Laterata,Lacertidae,66.75,10.6,legged,male,mean
Darevskia unisexualis,Sauria,Laterata,Lacertidae,58.83,4.8,legged,parthenogenetic,mean
Dinarolacerta mosorensis,Sauria,Laterata,Lacertidae,63.94,5.8,legged,female,mean
Eremias arguta,Sauria,Laterata,Lacertidae,100.00,11.3,legged,unsexed,heaviest
Eremias brenchleyi,Sauria,Laterata,Lacertidae,69.00,5.9,legged,unsexed,heaviest
Eremias pleskei,Sauria,Laterata,Lacertidae,52.00,2.6,legged,unsexed,heaviest
Gallotia atlantica,Sauria,Laterata,Lacertidae,74.00,12.8,legged,male,mean
Gallotia galloti,Sauria,Laterata,Lacertidae,108.35,38.5,legged,male,mean
Gallotia simonyi,Sauria,Laterata,Lacertidae,210.00,295.1,legged,female,heaviest
Gallotia stehlini,Sauria,Laterata,Lacertidae,192.50,208.0,legged,unsexed,mean
Heliobolus lugubris,Sauria,Laterata,Lacertidae,53.43,4.9,legged,unsexed,mean
Hellenolacerta graeca,Sauria,Laterata,Lacertidae,79.44,9.9,legged,male,mean
Iberolacerta aranica,Sauria,Laterata,Lacertidae,57.09,2.6,legged,female,mean
Iberolacerta bonnali,Sauria,Laterata,Lacertidae,55.93,2.8,legged,female,mean
Iberolacerta cyreni,Sauria,Laterata,Lacertidae,70.00,7.0,legged,male,mean
Iberolacerta monticola,Sauria,Laterata,Lacertidae,67.21,8.6,legged,male,mean
Ichnotropis squamulosa,Sauria,Laterata,Lacertidae,51.30,5.1,legged,unsexed,mean
Lacerta agilis,Sauria,Laterata,Lacertidae,77.57,8.3,legged,female,mean
Lacerta media,Sauria,Laterata,Lacertidae,118.00,44.2,legged,male,mean
Lacerta schreiberi,Sauria,Laterata,Lacertidae,135.00,21.2,legged,unsexed,heaviest
Lacerta strigata,Sauria,Laterata,Lacertidae,92.00,20.6,legged,unsexed,heaviest
Lacerta trilineata,Sauria,Laterata,Lacertidae,160.00,79.4,legged,unsexed,heaviest
Lacerta viridis,Sauria,Laterata,Lacertidae,101.00,39.0,legged,unsexed,mean
Meroles anchietae,Sauria,Laterata,Lacertidae,42.50,3.4,legged,unsexed,mean
Meroles suborbitalis,Sauria,Laterata,Lacertidae,54.76,5.0,legged,unsexed,mean
Mesalina brevirostris,Sauria,Laterata,Lacertidae,50.00,2.0,legged,unsexed,heaviest
Mesalina guttulata,Sauria,Laterata,Lacertidae,43.20,2.5,legged,unsexed,mean
Mesalina olivieri,Sauria,Laterata,Lacertidae,41.14,1.9,legged,male,mean
Mesalina rubropunctata,Sauria,Laterata,Lacertidae,51.33,2.8,legged,unsexed,mean
Nucras intertexta,Sauria,Laterata,Lacertidae,65.50,6.1,legged,unsexed,mean
Nucras tessellata,Sauria,Laterata,Lacertidae,56.80,6.0,legged,unsexed,mean
Omanosaura jayakari,Sauria,Laterata,Lacertidae,143.38,136.3,legged,male,mean
Ophisops elegans,Sauria,Laterata,Lacertidae,46.67,3.0,legged,unsexed,mean
Parvilacerta parva,Sauria,Laterata,Lacertidae,50.32,3.1,legged,unsexed,mean
Pedioplanis lineoocellata,Sauria,Laterata,Lacertidae,52.43,4.3,legged,unsexed,mean
Pedioplanis namaquensis,Sauria,Laterata,Lacertidae,48.81,3.1,legged,unsexed,mean
Phoenicolacerta laevis,Sauria,Laterata,Lacertidae,67.21,7.5,legged,male,mean
Podarcis atrata,Sauria,Laterata,Lacertidae,58.45,1.8,legged,female,mean
Podarcis bocagei,Sauria,Laterata,Lacertidae,56.37,4.6,legged,male,mean
Podarcis carbonelli,Sauria,Laterata,Lacertidae,53.47,2.9,legged,male,mean
Podarcis cretensis,Sauria,Laterata,Lacertidae,56.81,3.1,legged,female,mean
Podarcis erhardii,Sauria,Laterata,Lacertidae,65.34,9.5,legged,male,mean
Podarcis gaigeae,Sauria,Laterata,Lacertidae,73.22,10.8,legged,male,mean
Podarcis hispanicus,Sauria,Laterata,Lacertidae,53.80,3.7,legged,male,mean
Podarcis lilfordi,Sauria,Laterata,Lacertidae,66.35,7.3,legged,male,mean
Podarcis melisellensis,Sauria,Laterata,Lacertidae,60.88,6.0,legged,unsexed,mean
Podarcis muralis,Sauria,Laterata,Lacertidae,61.86,6.4,legged,male,mean
Podarcis peloponnesiacus,Sauria,Laterata,Lacertidae,74.55,9.2,legged,unsexed,mean
Podarcis pityusensis,Sauria,Laterata,Lacertidae,68.70,6.8,legged,male,mean
Podarcis siculus,Sauria,Laterata,Lacertidae,71.35,8.0,legged,unsexed,mean
Podarcis tauricus,Sauria,Laterata,Lacertidae,60.58,7.4,legged,male,mean
Podarcis tiliguerta,Sauria,Laterata,Lacertidae,61.38,5.0,legged,male,mean
Psammodromus algirus,Sauria,Laterata,Lacertidae,70.76,9.1,legged,unsexed,mean
Psammodromus hispanicus,Sauria,Laterata,Lacertidae,39.37,3.0,legged,unsexed,mean
Scelarcis perspicillata,Sauria,Laterata,Lacertidae,54.09,3.4,legged,male,mean
Takydromus amurensis,Sauria,Laterata,Lacertidae,78.00,4.8,legged,female,heaviest
Takydromus dorsalis,Sauria,Laterata,Lacertidae,65.40,3.4,legged,female,mean
Takydromus formosanus,Sauria,Laterata,Lacertidae,46.63,2.7,legged,male,mean
Takydromus hsuehshanensis,Sauria,Laterata,Lacertidae,59.50,4.7,legged,male,mean
Takydromus sauteri,Sauria,Laterata,Lacertidae,76.50,7.1,legged,female,heaviest
Takydromus septentrionalis,Sauria,Laterata,Lacertidae,60.70,5.3,legged,female,mean
Takydromus sexlineatus,Sauria,Laterata,Lacertidae,54.67,2.2,legged,unsexed,mean
Takydromus smaragdinus,Sauria,Laterata,Lacertidae,50.40,1.8,legged,female,mean
Takydromus stejnegeri,Sauria,Laterata,Lacertidae,54.40,3.1,legged,female,mean
Takydromus tachydromoides,Sauria,Laterata,Lacertidae,50.85,3.4,legged,female,mean
Takydromus wolteri,Sauria,Laterata,Lacertidae,50.50,2.4,legged,unsexed,mean
Teira dugesii,Sauria,Laterata,Lacertidae,70.00,9.0,legged,unsexed,heaviest
Timon lepidus,Sauria,Laterata,Lacertidae,164.94,119.8,legged,male,mean
Timon princeps,Sauria,Laterata,Lacertidae,112.00,20.8,legged,male,heaviest
Zootoca vivipara,Sauria,Laterata,Lacertidae,50.99,3.9,legged,unsexed,mean
Chalarodon madagascariensis,Sauria,Iguania,Opluridae,78.67,9.5,legged,male,mean
Oplurus cuvieri,Sauria,Iguania,Opluridae,144.49,117.7,legged,male,mean
Oplurus cyclurus,Sauria,Iguania,Opluridae,110.50,45.4,legged,male,mean
Oplurus fierinensis,Sauria,Iguania,Opluridae,87.00,19.5,legged,male,mean
Oplurus grandidieri,Sauria,Iguania,Opluridae,109.00,35.2,legged,male,mean
Oplurus quadrimaculatus,Sauria,Iguania,Opluridae,120.70,57.9,legged,male,mean
Oplurus saxicola,Sauria,Iguania,Opluridae,104.00,29.6,legged,male,mean
Callisaurus draconoides,Sauria,Iguania,Phrynosomatidae,73.40,10.3,legged,unsexed,mean
Cophosaurus texanus,Sauria,Iguania,Phrynosomatidae,70.07,10.2,legged,male,mean
Holbrookia maculata,Sauria,Iguania,Phrynosomatidae,54.15,4.9,legged,female,mean
Petrosaurus mearnsi,Sauria,Iguania,Phrynosomatidae,82.45,14.0,legged,unsexed,mean
Phrynosoma asio,Sauria,Iguania,Phrynosomatidae,124.46,100.0,legged,unsexed,heaviest
Phrynosoma cornutum,Sauria,Iguania,Phrynosomatidae,83.30,38.5,legged,male,mean
Phrynosoma coronatum,Sauria,Iguania,Phrynosomatidae,114.00,38.0,legged,unsexed,heaviest
Phrynosoma ditmarsi,Sauria,Iguania,Phrynosomatidae,90.00,31.1,legged,female,heaviest
Phrynosoma douglassii,Sauria,Iguania,Phrynosomatidae,82.00,17.0,legged,unsexed,mean
Phrynosoma hernandesi,Sauria,Iguania,Phrynosomatidae,125.00,42.3,legged,female,heaviest
Phrynosoma mcallii,Sauria,Iguania,Phrynosomatidae,67.90,10.9,legged,unsexed,mean
Phrynosoma modestum,Sauria,Iguania,Phrynosomatidae,52.90,8.3,legged,unsexed,mean
Phrynosoma platyrhinos,Sauria,Iguania,Phrynosomatidae,75.25,18.8,legged,unsexed,mean
Sceloporus arenicolus,Sauria,Iguania,Phrynosomatidae,53.90,5.1,legged,female,mean
Sceloporus bicanthalis,Sauria,Iguania,Phrynosomatidae,50.65,4.4,legged,female,mean
Sceloporus clarkii,Sauria,Iguania,Phrynosomatidae,92.30,33.3,legged,female,mean
Sceloporus cyanogenys,Sauria,Iguania,Phrynosomatidae,148.00,51.5,legged,unsexed,heaviest
Sceloporus druckercolini,Sauria,Iguania,Phrynosomatidae,97.50,34.0,legged,unsexed,heaviest
Sceloporus gadoviae,Sauria,Iguania,Phrynosomatidae,52.70,5.2,legged,female,mean
Sceloporus graciosus,Sauria,Iguania,Phrynosomatidae,57.50,7.0,legged,male,mean
Sceloporus grammicus,Sauria,Iguania,Phrynosomatidae,56.49,6.1,legged,male,mean
Sceloporus jarrovii,Sauria,Iguania,Phrynosomatidae,76.35,23.9,legged,male,mean
Sceloporus magister,Sauria,Iguania,Phrynosomatidae,86.30,43.6,legged,unsexed,mean
Sceloporus merriami,Sauria,Iguania,Phrynosomatidae,49.91,4.3,legged,male,mean
Sceloporus occidentalis,Sauria,Iguania,Phrynosomatidae,66.15,13.6,legged,unsexed,mean
Sceloporus olivaceus,Sauria,Iguania,Phrynosomatidae,90.92,33.6,legged,female,mean
Sceloporus orcutti,Sauria,Iguania,Phrynosomatidae,96.12,50.2,legged,male,mean
Sceloporus scalaris,Sauria,Iguania,Phrynosomatidae,51.90,3.9,legged,female,mean
Sceloporus undulatus,Sauria,Iguania,Phrynosomatidae,62.50,11.3,legged,female,mean
Sceloporus variabilis,Sauria,Iguania,Phrynosomatidae,58.07,11.0,legged,male,mean
Sceloporus virgatus,Sauria,Iguania,Phrynosomatidae,54.95,7.1,legged,female,mean
Sceloporus woodi,Sauria,Iguania,Phrynosomatidae,55.25,7.2,legged,female,mean
Uma inornata,Sauria,Iguania,Phrynosomatidae,124.00,17.3,legged,unsexed,heaviest
Uma notata,Sauria,Iguania,Phrynosomatidae,103.00,26.9,legged,male,mean
Uma scoparia,Sauria,Iguania,Phrynosomatidae,83.43,17.5,legged,unsexed,mean
Urosaurus bicarinatus,Sauria,Iguania,Phrynosomatidae,44.60,3.0,legged,female,mean
Urosaurus graciosus,Sauria,Iguania,Phrynosomatidae,48.70,3.5,legged,unsexed,mean
Urosaurus nigricaudus,Sauria,Iguania,Phrynosomatidae,40.00,3.2,legged,unsexed,mean
Urosaurus ornatus,Sauria,Iguania,Phrynosomatidae,50.87,3.4,legged,male,mean
Uta stansburiana,Sauria,Iguania,Phrynosomatidae,46.17,3.0,legged,male,mean
Anolis acutus,Sauria,Iguania,Polychrotidae,66.00,4.3,legged,unsexed,heaviest
Anolis aequatorialis,Sauria,Iguania,Polychrotidae,82.10,10.5,legged,male,mean
Anolis agassizi,Sauria,Iguania,Polychrotidae,114.00,34.0,legged,male,heaviest
Anolis aliniger,Sauria,Iguania,Polychrotidae,55.90,4.7,legged,male,mean
Anolis allisoni,Sauria,Iguania,Polychrotidae,56.55,4.5,legged,female,mean
Anolis angusticeps,Sauria,Iguania,Polychrotidae,45.30,2.6,legged,male,mean
Anolis anisolepis,Sauria,Iguania,Polychrotidae,53.00,3.5,legged,male,mean
Anolis aquaticus,Sauria,Iguania,Polychrotidae,64.65,7.8,legged,male,mean
Anolis attenuatus,Sauria,Iguania,Polychrotidae,80.60,10.9,legged,female,mean
Anolis auratus,Sauria,Iguania,Polychrotidae,43.90,1.9,legged,unsexed,mean
Anolis bahorucoensis,Sauria,Iguania,Polychrotidae,43.90,1.7,legged,male,mean
Anolis baleatus,Sauria,Iguania,Polychrotidae,156.30,80.8,legged,male,mean
Anolis bicaorum,Sauria,Iguania,Polychrotidae,61.35,5.9,legged,female,mean
Anolis biporcatus,Sauria,Iguania,Polychrotidae,88.70,28.0,legged,female,mean
Anolis bombiceps,Sauria,Iguania,Polychrotidae,74.00,3.9,legged,female,heaviest
Anolis bonairensis,Sauria,Iguania,Polychrotidae,75.00,8.9,legged,male,heaviest
Anolis capito,Sauria,Iguania,Polychrotidae,68.45,7.8,legged,unsexed,mean
Anolis carolinensis,Sauria,Iguania,Polychrotidae,49.25,2.3,legged,female,mean
