STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/29/2001,0,49,61,36
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/30/2001,0,50,69,31
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,5/31/2001,0,53,70,35
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/1/2001,0.02,49,55,43
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/2/2001,0.24,46,50,42
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/3/2001,0,50,58,41
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/4/2001,0,48,60,35
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/5/2001,0,49,60,37
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/6/2001,0,52,62,42
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/7/2001,0,53,66,40
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/8/2001,0.27,57,75,39
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/9/2001,0,63,78,47
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/10/2001,0.28,63,75,51
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/11/2001,0.31,67,83,51
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/12/2001,0,66,78,54
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/13/2001,0.17,67,81,53
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/14/2001,0.68,69,84,53
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/15/2001,0,64,73,55
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/16/2001,0.29,63,74,52
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/17/2001,0,60,73,47
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/18/2001,0.47,62,73,50
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/19/2001,0,62,73,51
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/20/2001,0.17,61,75,47
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/21/2001,0.07,50,58,41
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/22/2001,0,55,72,37
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/23/2001,0,60,78,42
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/24/2001,0,69,79,59
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/25/2001,0,78,90,65
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/26/2001,0,81,88,74
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/27/2001,0,67,77,57
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/28/2001,0,71,87,55
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/29/2001,0.68,77,86,67
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,6/30/2001,0,68,82,54
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/1/2001,0,55,66,44
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/2/2001,0.16,55,63,47
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/3/2001,0.06,66,78,53
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/4/2001,0,63,72,53
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/5/2001,0,57,71,42
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/6/2001,0.01,59,75,42
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/7/2001,0,73,84,61
