index,use,day,tank,treat,date,trapped,num,sex,length,hardness
3T,Y,3,B,T,7/17/2001,TRUE,12,M,29,3
3T,Y,3,B,T,7/17/2001,TRUE,13,F,27,3
3T,Y,3,B,T,7/17/2001,TRUE,14,M,27,3
3T,Y,3,B,T,7/17/2001,TRUE,15,M,29,3
3T,Y,3,B,T,7/17/2001,TRUE,16,F,26,3
4C,Y,4,B,C,7/18/2001,FALSE,1,M,34,2
4C,Y,4,B,C,7/18/2001,FALSE,2,F,27,3
4C,Y,4,B,C,7/18/2001,FALSE,3,F,24,3
4C,Y,4,B,C,7/18/2001,FALSE,4,M,23,3
4C,Y,4,B,C,7/18/2001,FALSE,5,F,27,3
4C,Y,4,B,C,7/18/2001,FALSE,6,F,30,3
4C,Y,4,B,C,7/18/2001,FALSE,7,M,31,3
4C,Y,4,B,C,7/18/2001,FALSE,8,M,30,3
4C,Y,4,B,C,7/18/2001,FALSE,9,M,27,3
4C,Y,4,B,C,7/18/2001,FALSE,10,F,27,3
4C,Y,4,B,C,7/18/2001,FALSE,11,F,29,3
4C,Y,4,B,C,7/18/2001,FALSE,12,F,26,3
4C,Y,4,B,C,7/18/2001,FALSE,13,F,29,3
4C,Y,4,B,C,7/18/2001,FALSE,14,M,23,3
4C,Y,4,B,C,7/18/2001,FALSE,15,M,21,3
4C,Y,4,B,C,7/18/2001,FALSE,16,M,21,3
4C,Y,4,B,C,7/18/2001,FALSE,17,M,25,3
4C,Y,4,B,C,7/18/2001,FALSE,18,F,23,3
4C,Y,4,B,C,7/18/2001,FALSE,19,F,29,3
4C,Y,4,B,C,7/18/2001,FALSE,20,F,22,3
4C,Y,4,B,C,7/18/2001,FALSE,21,M,24,3
4C,Y,4,B,C,7/18/2001,FALSE,22,M,24,3
4C,Y,4,B,C,7/18/2001,FALSE,23,M,24,3
4C,Y,4,B,C,7/18/2001,TRUE,1,M,35,3
4C,Y,4,B,C,7/18/2001,TRUE,2,M,32,3
4C,Y,4,B,C,7/18/2001,TRUE,3,M,32,3
4C,Y,4,B,C,7/18/2001,TRUE,4,M,27,3
4C,Y,4,B,C,7/18/2001,TRUE,5,M,27,3
4C,Y,4,B,C,7/18/2001,TRUE,6,M,28,3
4C,Y,4,B,C,7/18/2001,TRUE,7,M,33,3
4T,Y,4,A,T,7/18/2001,FALSE,1,M,37,3
4T,Y,4,A,T,7/18/2001,FALSE,2,M,34,3
4T,Y,4,A,T,7/18/2001,FALSE,3,M,31,3
4T,Y,4,A,T,7/18/2001,FALSE,4,F,25,3
4T,Y,4,A,T,7/18/2001,FALSE,5,M,28,3
4T,Y,4,A,T,7/18/2001,FALSE,6,F,31,3
4T,Y,4,A,T,7/18/2001,FALSE,7,M,29,1
4T,Y,4,A,T,7/18/2001,FALSE,8,F,26,3
4T,Y,4,A,T,7/18/2001,FALSE,9,M,25,3
4T,Y,4,A,T,7/18/2001,FALSE,10,M,27,3
4T,Y,4,A,T,7/18/2001,FALSE,11,F,25,3
4T,Y,4,A,T,7/18/2001,FALSE,12,F,22,3
4T,Y,4,A,T,7/18/2001,FALSE,13,F,23,3
4T,Y,4,A,T,7/18/2001,FALSE,14,M,25,3
4T,Y,4,A,T,7/18/2001,FALSE,15,M,23,3
4T,Y,4,A,T,7/18/2001,FALSE,16,M,24,3
4T,Y,4,A,T,7/18/2001,FALSE,17,F,24,3
4T,Y,4,A,T,7/18/2001,FALSE,18,M,26,3
4T,Y,4,A,T,7/18/2001,FALSE,19,F,25,3
4T,Y,4,A,T,7/18/2001,FALSE,20,M,22,3
4T,Y,4,A,T,7/18/2001,TRUE,1,F,27,3
4T,Y,4,A,T,7/18/2001,TRUE,2,M,29,3
4T,Y,4,A,T,7/18/2001,TRUE,3,F,30,3
4T,Y,4,A,T,7/18/2001,TRUE,4,F,28,3
4T,Y,4,A,T,7/18/2001,TRUE,5,M,29,3
4T,Y,4,A,T,7/18/2001,TRUE,6,M,27,3
4T,Y,4,A,T,7/18/2001,TRUE,7,M,28,3
4T,Y,4,A,T,7/18/2001,TRUE,8,M,25,3
4T,Y,4,A,T,7/18/2001,TRUE,9,F,22,3
4T,Y,4,A,T,7/18/2001,TRUE,10,M,28,3
5C,Y,5,B,C,7/19/2001,FALSE,1,M,26,3
5C,Y,5,B,C,7/19/2001,FALSE,2,M,31,3
5C,Y,5,B,C,7/19/2001,FALSE,3,M,42,3
5C,Y,5,B,C,7/19/2001,FALSE,4,F,38,3
5C,Y,5,B,C,7/19/2001,FALSE,5,M,32,3
5C,Y,5,B,C,7/19/2001,FALSE,6,F,39,3
5C,Y,5,B,C,7/19/2001,FALSE,7,M,38,3
5C,Y,5,B,C,7/19/2001,FALSE,8,M,28,3
5C,Y,5,B,C,7/19/2001,FALSE,9,F,31,3
5C,Y,5,B,C,7/19/2001,FALSE,10,F,26,3
5C,Y,5,B,C,7/19/2001,FALSE,11,M,29,3
5C,Y,5,B,C,7/19/2001,FALSE,12,F,28,3
5C,Y,5,B,C,7/19/2001,FALSE,13,F,27,3
5C,Y,5,B,C,7/19/2001,FALSE,14,M,21,3
5C,Y,5,B,C,7/19/2001,FALSE,15,M,34,3
5C,Y,5,B,C,7/19/2001,FALSE,16,F,31,3
5C,Y,5,B,C,7/19/2001,FALSE,17,F,27,3
5C,Y,5,B,C,7/19/2001,FALSE,18,M,28,3
5C,Y,5,B,C,7/19/2001,FALSE,19,F,28,3
5C,Y,5,B,C,7/19/2001,FALSE,20,M,22,3
5C,Y,5,B,C,7/19/2001,FALSE,21,F,22,3
5C,Y,5,B,C,7/19/2001,FALSE,22,F,23,3
5C,Y,5,B,C,7/19/2001,TRUE,1,M,28,3
5C,Y,5,B,C,7/19/2001,TRUE,2,M,33,3
5C,Y,5,B,C,7/19/2001,TRUE,3,M,28,3
5C,Y,5,B,C,7/19/2001,TRUE,4,M,36,3
5C,Y,5,B,C,7/19/2001,TRUE,5,M,35,3
5C,Y,5,B,C,7/19/2001,TRUE,6,M,28,3
5C,Y,5,B,C,7/19/2001,TRUE,7,M,29,3
5C,Y,5,B,C,7/19/2001,TRUE,8,F,28,3
5T,Y,5,A,T,8/19/2001,FALSE,1,F,30,3
5T,Y,5,A,T,8/19/2001,FALSE,2,M,29,2
5T,Y,5,A,T,8/19/2001,FALSE,3,F,27,3
5T,Y,5,A,T,8/19/2001,FALSE,4,F,25,3
5T,Y,5,A,T,8/19/2001,FALSE,5,M,31,2
5T,Y,5,A,T,8/19/2001,FALSE,6,F,27,3
5T,Y,5,A,T,8/19/2001,FALSE,7,F,29,3
5T,Y,5,A,T,8/19/2001,FALSE,8,F,25,2
5T,Y,5,A,T,8/19/2001,FALSE,9,F,26,3
5T,Y,5,A,T,8/19/2001,FALSE,10,F,33,3
5T,Y,5,A,T,8/19/2001,FALSE,11,F,24,3
5T,Y,5,A,T,8/19/2001,FALSE,12,M,24,3
5T,Y,5,A,T,8/19/2001,FALSE,13,F,22,3
5T,Y,5,A,T,8/19/2001,FALSE,14,M,25,3
5T,Y,5,A,T,8/19/2001,TRUE,1,F,27,3
5T,Y,5,A,T,8/19/2001,TRUE,2,F,51,3
5T,Y,5,A,T,8/19/2001,TRUE,3,M,32,3
5T,Y,5,A,T,8/19/2001,TRUE,4,F,29,3
5T,Y,5,A,T,8/19/2001,TRUE,5,M,33,3
5T,Y,5,A,T,8/19/2001,TRUE,6,F,25,3
5T,Y,5,A,T,8/19/2001,TRUE,7,M,35,3
5T,Y,5,A,T,8/19/2001,TRUE,8,M,30,3
5T,Y,5,A,T,8/19/2001,TRUE,9,F,30,3
5T,Y,5,A,T,8/19/2001,TRUE,10,M,31,3
5T,Y,5,A,T,8/19/2001,TRUE,11,M,26,3
5T,Y,5,A,T,8/19/2001,TRUE,12,F,29,3
5T,Y,5,A,T,8/19/2001,TRUE,13,M,24,3
5T,Y,5,A,T,8/19/2001,TRUE,14,F,49,3
5T,Y,5,A,T,8/19/2001,TRUE,15,F,30,3
6C,Y,6,B,C,7/20/2001,FALSE,1,F,25,3
6C,Y,6,B,C,7/20/2001,FALSE,2,F,38,3
6C,Y,6,B,C,7/20/2001,FALSE,3,F,25,3
6C,Y,6,B,C,7/20/2001,FALSE,4,M,27,3
6C,Y,6,B,C,7/20/2001,FALSE,5,F,25,3
6C,Y,6,B,C,7/20/2001,FALSE,6,M,29,3
6C,Y,6,B,C,7/20/2001,FALSE,7,F,23,3
6C,Y,6,B,C,7/20/2001,FALSE,8,M,30,3
6C,Y,6,B,C,7/20/2001,FALSE,9,M,26,2
6C,Y,6,B,C,7/20/2001,FALSE,10,M,38,3
6C,Y,6,B,C,7/20/2001,FALSE,11,M,29,3
6C,Y,6,B,C,7/20/2001,FALSE,12,M,27,3
6C,Y,6,B,C,7/20/2001,FALSE,13,M,27,3
6C,Y,6,B,C,7/20/2001,FALSE,14,M,23,3
6C,Y,6,B,C,7/20/2001,FALSE,15,M,29,3
6C,Y,6,B,C,7/20/2001,FALSE,16,M,20,3
6C,Y,6,B,C,7/20/2001,FALSE,17,F,23,3
6C,Y,6,B,C,7/20/2001,FALSE,18,M,27,3
6C,Y,6,B,C,7/20/2001,FALSE,19,F,24,3
6C,Y,6,B,C,7/20/2001,FALSE,20,M,24,3
6C,Y,6,B,C,7/20/2001,FALSE,21,M,25,3
6C,Y,6,B,C,7/20/2001,FALSE,22,F,26,3
